sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_id
en	am	 about how long have these symptoms been going on? 	እነዚህ ምልክቶች ለምን ያህል ጊዜ ቆይተዋል?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and all chest pain should be treated this way especially with your age 	እና ሁሉም የደረት ህመሞች መታከም ያለባቸው በዚህ መንገድ ነው በተለይም በእርስዎ እድሜ	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and along with a fever 	እና ትኩሳትም አለው	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and also needs to be checked your cholesterol blood pressure 	እና የኮሌስትሮልዎ የደም ግፊትም ሊመረመር ይገባል	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and are you having a fever now? 	እና አሁን በዚህ ጊዜ ትኩሳት አለዎት?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and are you having this chest pain now? 	አሁን ይሄን የደረት ህመም አለዎት?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and besides do you have difficulty breathing 	እና በተጨማሪስ የመተንፈስ ችግር አለብዎት	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and can you tell me what other symptoms are you having along with this? 	እና ከዚህ ጋር በተያያዘ ሌላ ምን ዓይነት ምልክቶች እንዳለዎት ሊነግሩኝ ይችላሉ?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and how high has your fever been 	እና ትኩሳትዎ ምን ያህል ከፍ ብሎ ነበር	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and i have a cough too 	እና ሳልም አለኝ	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and i have a little cold and a cough 	እና መጠነኛ ጉንፋን እና ሳል አለኝ	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and i'm really having some bad chest pain today 	እና ዛሬ የእውነት መጥፎ የሆነ የደረት ህመም እያጋጠመኝ ነው	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and is this the right time for your hay fever 	እና ለእርስዎ ከፍተኛ ትኩሳት ትክክለኛው ጊዜ አሁን ነው	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and it get the chest pain 	እና የደረት ህመሙን ያገኛል	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and i think i have a little bit of a fever 	እና ትንሽ ትኩሳት እንዳለብኝ ይሰማኛል	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTkc=
en	am	 and i want you to describe where the chest pain is 	እና የደረቱ ህመም የቱ ጋር እንደሆነ እንዲያስረዱኝ እፈልጋለሁ	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and they're having some fevers as well 	እና እነሱም የተወሰነ ትኩሳት አለባቸው	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and with your history of diabetes 	እና እርስዎ የስኳር በሽታ ታሪክ ስላለዎት	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and you know it feels like my chest is like gonna crush 	እና ያውቃሉ ደረቴ እንደሚደቅ ዓይነት ስሜት ነው የሚሰማኝ	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and you know people cough on me all the time 	እና ሰዎች ሁልጊዜ እኔ ላይ እንደሚያስሉ ያውቃሉ	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and you're having chest pain 	እና በዚህ ሰዓት የደረት ህመም እየተሰማዎት ነው	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 and you said this is a pressure in your chest 	እና ይሄ ደረትዎ ውስጥ ያለ ግፊት እንደሆነ ተናግረዋል	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	በቤተሰብዎ ውስጥ የልብ ችግር፣ የልብ በሽታ፣ የልብ ድካም፣ ከፍተኛ ኮሌስትሮል እና ከፍተኛ የደም ግፊት ያለበት ማንኛውም ሰው አለ	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 any other symptoms or problems that you notice with the muscle aches? 	ከጡንቻ ህመም ጋር በተያያዘ ያስተዋሉት ሌላ ማንኛውም ምልክቶች ወይም ችግሮች አሉ?	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 are there other people sick as you at home with your same symptoms? 	እንደእርስዎ ተመሳሳይ ምልክቶች ያላቸው የታመሙ ሰዎች በቤት ውስጥ አሉ?	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 are you having any other symptoms? 	ሌላ ማንኛውም አይነት ምልክቶች አሉብዎት?	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 are you having any shortness of breath? 	ማንኛውም ዓይነት የትንፋሽ ማጠር አለብዎት?	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 are you still having the chest pain 	አሁንም የደረት ህመም አልዎት	CMU_1:37	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 because this is flu season 	ምክንያቱም ይሄ የጉንፋን ወቅት ነው	CMU_1:38	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	ነገር ግን የልብ መነሻን የደረት ህመምንም ወደ ጎን ማድረግ አይገባንም	CMU_1:40	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 but a more important problem now is this chest pain 	ነገር ግን አሁን የበለጠው ዋናው ችግር የደረት ህመም ነው	CMU_1:41	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 but i have difficulty breathing 	ነገር ግን የመተንፈስ ችግር አለብኝ	CMU_1:43	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 but i know lot of people cough on me 	ነገር ግን ብዙ ሰዎች እንደሚያስሉብኝ አውቃለው	CMU_1:44	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 but we need to treat every chest pain with the utmost seriousness 	ነገር ግን እያንዳንዱን የደረት ህመም በከፍተኛ ትኩረት ማከም ይኖርብናል	CMU_1:45	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 but you're breathing all right right now right? 	ነገር ግን በአሁኑ ሰአት በጥሩ ሁኔታ እየተነፈሱ ነው አይደል?	CMU_1:46	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 'cause of this chest pain i totally forgot 	በዚህ የደረት ህመም ምክንያት በአጠቃላይ ረስቼዋለሁ	CMU_1:47	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 does it feel like somebody squeezing your chest 	የሆነ ሰው ደረትዎን እየጨመቅዎት ያለ አይነት ስሜት ነው የሚሰማዎት	CMU_1:49	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 do still feel like shortness of breath 	አሁንም የትንፋሽ ማጠር ይሰማዎታል	CMU_1:50	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
en	am	 do they complain of being sick similar symptoms? 	ተመሳሳይ የሕመም ምልክቶች እንዳሉባቸው ይገልጻሉ?	CMU_1:51	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	amTk4=
