sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID
en	lg	 about how long have these symptoms been going on? 	obubonero buno bumaze nga bbanga ki?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and all chest pain should be treated this way especially with your age 	era obulumi bwonna obw’omukifuba bulina kujjanjabibwa mu ngeri eno naddala okusinziira ku myaka gyo	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and along with a fever 	era awamu n’olusujja	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and also needs to be checked your cholesterol blood pressure 	era kyetaagisa okukeberebwa ekirungo ky’obutafaali okumanya puleesa y’omusaayi	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and are you having a fever now? 	era olina olusujja mu kiseera kino?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and are you having this chest pain now? 	era olumizibwa mu kifuba kati?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and besides do you have difficulty breathing 	era olinamu obuzibu mu kussa	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and can you tell me what other symptoms are you having along with this? 	era osobola okumbuulira obubonero obulala bw’olina ng’oggyeeko buno?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and how high has your fever been 	era olusujja lubadde ku bbugumu ly’enkana ki	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and i have a cough too 	era nkolola n’okukolola	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and i have a little cold and a cough 	era nninamu ssennyiga omutonotono n’okukolola	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and i'm really having some bad chest pain today 	era mpulira obulumi obw’amaanyi mu kifuba olwaleero	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and is this the right time for your hay fever 	era kino kye kiseera mw’ofunira okufuukuuka kw’omubiri okubaawo mu bbanga eggere	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and it get the chest pain 	era mubaamu okulumizibwa mu kifuba	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and i think i have a little bit of a fever 	era ndowooza nti nninamu olusujja	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and i want you to describe where the chest pain is 	era njagala onnyonnyole w’owulira obulumi bw’omukifuba	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and they're having some fevers as well 	era balinamu n’olusujja	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and with your history of diabetes 	era n’ebyafaayo byo ku bulwadde bwa sukaali	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
en	lg	 and you know it feels like my chest is like gonna crush 	era omanyi kiwulikika ng’ekifuba kyange ekigenda okwabika	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	User 03
