sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID
en	ps	about how long have these symptoms been going on?	دغه علايم له څومره مودې راهيسې ادامه لري؟	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and all chest pain should be treated this way especially with your age	په خاصه بیا ستاسو عمر ته په کتو سره د سینې د ټول درد باید پدې ډول درملنه وشي.	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and along with a fever	او له تبی سره	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and also needs to be checked your cholesterol blood pressure	او ستاسو د کوليسترول او وینې فشار معاینه هم باید ترسره شی.	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and are you having a fever now?	او ایا تاسو اوس تبه لرئ ؟	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and are you having this chest pain now?	او آیا تاسو اوس هم د سینی دا درد لرئ؟	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and besides do you have difficulty breathing	او د هغه تر څنګ ایا تاسو په ساه اخیستلو کښی ستونزه لرئ؟	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and can you tell me what other symptoms are you having along with this?	او ایا تاسو ويلی شئ چې د دې ترڅنګ نور کوم علایم لرئ؟	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and how high has your fever been	او ستاسو تبه څومره شدیده ده	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and i have a cough too	او زه ټوخی هم ورسره لرم	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and i have a little cold and a cough	او زه لږ ټوخی او ساړه هم ورسره لرم	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and i'm really having some bad chest pain today	او زه نن واقعآ د سینی ډير سخت درد لرم	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and is this the right time for your hay fever	او ایا دا ستاسو د وچی تبی لپاره مناسب وخت دی	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and it get the chest pain	او له دې سره د سینی درد هم پیدا کیږی	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and i think i have a little bit of a fever	او زه فکر کوم زه لږه تبه هم ورسره لرم	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and i want you to describe where the chest pain is	او زه غواړم تاسو تشریح کړئ چې چیرته درد شتون لري	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and they're having some fevers as well	او دوي يو څه تبه هم لري	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and with your history of diabetes	او ستاسو د شکرې له مخینی سره	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and you know it feels like my chest is like gonna crush	او تاسو پوهیږئ دا داسې احساس کېږي لکه چې زما سینه به اوس وچوي	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and you know people cough on me all the time	او تاسو پوهیږئ چې هر وخت خلک په ما باندې ټوخي کوي	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and you're having chest pain	او تاسو د سینی درد لرئ	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	and you said this is a pressure in your chest	او تاسو وویل چی دا ستاسو په سينه يو فشار دی	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	ایا په کورنۍ کې کوم څوک د زړه ستونزه لري د زړه ناروغي د زړه حمله د د وینو لوړ کولیسټرول د وينې لوړ فشار	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	any other symptoms or problems that you notice with the muscle aches?	کومې نور علايم یا ستونزې لري چې تاسو یې د عضلاتو درد سره احساسوئ؟	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	are there other people sick as you at home with your same symptoms?	ایا ستاسو په کورنۍ کی نور څوک هم په ورته علایمو ناروغه دي؟	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	are you having any other symptoms?	ایا تاسو کوم نور علایم لرئ؟	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	are you having any shortness of breath?	ایا تاسو ساه لنډي لرئ؟	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	are you still having the chest pain	ایا تاسو لا هم د سینی درد لري	CMU_1:37	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	because this is flu season	ځکه چی دا د زکام فصل دی	CMU_1:38	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	but also we shouldn't be put aside for the heart cardiac origin chest pain	مګر دا هم باید موږ د زړه یا د اصلي سینې درد لپاره يو اړخ ته ونه ساتي	CMU_1:40	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
en	ps	but a more important problem now is this chest pain	اما د اوس لپاره ترټولو مهمه ستونزه د سینی درد دی	CMU_1:41	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	unk
